"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"zbeta0[20]",0.8282027196215,0.830374,0.850486486729929,19338.6,0.95,0.25776,1.38572,NA,NA,NA,NA,NA,NA,NA
"zbeta0[21]",1.6104218940435,1.604395,1.57392327086352,13483.9,0.95,0.790939,2.45133,NA,NA,NA,NA,NA,NA,NA
"zbeta0[22]",-0.6475382713241,-0.646474,-0.644387427707844,20000,0.95,-1.0946,-0.205663,NA,NA,NA,NA,NA,NA,NA
"zbeta0[23]",-0.438250739995,-0.4369765,-0.39680307784047,20000,0.95,-0.899382,0.0126651,NA,NA,NA,NA,NA,NA,NA
"zbeta0[24]",1.0865705473814,1.096725,1.1626259669331,16522.6,0.95,-0.35437,2.53036,NA,NA,NA,NA,NA,NA,NA
"zbeta0[25]",-1.05820464165011,-1.06473,-1.06147496962672,16232.7,0.95,-2.56926,0.414681,NA,NA,NA,NA,NA,NA,NA
"zbeta1[1]",0.7453358151875,0.7323475,0.733040139967776,16708.7,0.95,0.307714,1.24598,NA,NA,NA,NA,NA,NA,NA
"zbeta1[2]",0.541856050174445,0.5690245,0.635817180035459,9572,0.95,0.0650891,0.938782,NA,NA,NA,NA,NA,NA,NA
"zbeta1[3]",0.501049802383135,0.523046,0.60553619693358,8345.7,0.95,0.0807667,0.870434,NA,NA,NA,NA,NA,NA,NA
"zbeta1[4]",0.7120352421988,0.7042685,0.696829113397867,17237.9,0.95,0.178111,1.28696,NA,NA,NA,NA,NA,NA,NA
"zbeta1[5]",0.63016505515955,0.6409775,0.653783298476546,14622.5,0.95,0.233491,1.01388,NA,NA,NA,NA,NA,NA,NA
"zbeta1[6]",0.91518421675,0.885923,0.784354957815777,7821.4,0.95,0.485485,1.4259,NA,NA,NA,NA,NA,NA,NA
"zbeta1[7]",0.69599520283775,0.696487,0.707770432847874,16875.1,0.95,0.241632,1.1839,NA,NA,NA,NA,NA,NA,NA
"zbeta1[8]",0.77975513841,0.7642255,0.733273704836108,13066.2,0.95,0.367035,1.21418,NA,NA,NA,NA,NA,NA,NA
"zbeta1[9]",0.665834226805,0.6710285,0.675193126736938,17109.6,0.95,0.251055,1.09132,NA,NA,NA,NA,NA,NA,NA
"zbeta1[10]",0.52715636853305,0.5456425,0.607069729040224,8682.3,0.95,0.132643,0.88585,NA,NA,NA,NA,NA,NA,NA
"zbeta1[11]",0.75679902976415,0.736895,0.707951183696677,14495.7,0.95,0.259855,1.32036,NA,NA,NA,NA,NA,NA,NA
"zbeta1[12]",0.716815297757745,0.711753,0.71934010580325,16843.8,0.95,0.280349,1.20879,NA,NA,NA,NA,NA,NA,NA
"zbeta1[13]",0.7447565410815,0.731536,0.709775347693315,15767.5,0.95,0.276181,1.25426,NA,NA,NA,NA,NA,NA,NA
"zbeta1[14]",0.7079627199925,0.704288,0.691284080092826,17260.2,0.95,0.351176,1.08942,NA,NA,NA,NA,NA,NA,NA
"zbeta1[15]",0.669645759616179,0.67537,0.686423439983576,17182.2,0.95,0.157751,1.21097,NA,NA,NA,NA,NA,NA,NA
"zbeta1[16]",0.68761503215625,0.6881275,0.690495324953094,16045.3,0.95,0.27186,1.08708,NA,NA,NA,NA,NA,NA,NA
"zbeta1[17]",0.66965666769543,0.6729455,0.66189461209271,15999.8,0.95,0.274949,1.01809,NA,NA,NA,NA,NA,NA,NA
"zbeta1[18]",0.824375700173,0.805297,0.765714778227273,10233.9,0.95,0.463394,1.24158,NA,NA,NA,NA,NA,NA,NA
"zbeta1[19]",0.7444840070855,0.724878,0.696523695865229,14631.3,0.95,0.20785,1.35465,NA,NA,NA,NA,NA,NA,NA
"zbeta1[20]",0.73383484561665,0.7199675,0.709812590906917,16171.9,0.95,0.225884,1.30162,NA,NA,NA,NA,NA,NA,NA
"zbeta1[21]",0.8215034202575,0.794737,0.735075661949523,11106.9,0.95,0.4026,1.3237,NA,NA,NA,NA,NA,NA,NA
"zbeta1[22]",0.82100575939,0.793442,0.742208501195306,12730.3,0.95,0.399742,1.31222,NA,NA,NA,NA,NA,NA,NA
"zbeta1[23]",0.85965915705,0.843922,0.774433059294395,8341,0.95,0.511441,1.26192,NA,NA,NA,NA,NA,NA,NA
"zbeta1[24]",0.570283467190555,0.5966365,0.671691775659211,13727.7,0.95,0.0591848,1.03521,NA,NA,NA,NA,NA,NA,NA
"zbeta1[25]",0.549302422136705,0.579123,0.654445195308437,12052.4,0.95,0.0185055,1.00289,NA,NA,NA,NA,NA,NA,NA
"zbeta0mu",0.075943754631044,0.07408315,0.0673033538293704,20000,0.95,-0.383864,0.513327,NA,NA,NA,NA,NA,NA,NA
"zbeta1mu",0.70373668085,0.7041045,0.713162624303707,9498.7,0.95,0.49697,0.906009,NA,NA,NA,NA,NA,NA,NA
"zsigma",0.59250539755,0.5909185,0.587168104283715,13995.6,0.95,0.490538,0.698241,NA,NA,NA,NA,NA,NA,NA
"sigma",18.984803615,18.93395,18.8137728067778,13995.6,0.95,15.7176,22.3727,NA,NA,NA,NA,NA,NA,NA
"nu",40.13075976,31.3803,15.8736099539995,14688.8,0.95,3.30182,103.986,NA,NA,NA,NA,NA,NA,NA
"zbeta0sigma",1.0536018403,1.03305,0.985148212477674,17030.5,0.95,0.697844,1.45336,NA,NA,NA,NA,NA,NA,NA
"zbeta1sigma",0.2257169802675,0.2211335,0.238183292044039,3486.5,0.95,0.00164331,0.428939,NA,NA,NA,NA,NA,NA,NA
